"Article ID (evar50)","Multi Variate Value 1","Unique Visitors"
"00000000-0002-0001-0000-000167507107","",9
"00000000-0002-0001-0000-000169338944","",22727
"00000000-0002-0001-0000-000169338944","social design award",296
"00000000-0002-0001-0000-000170716911","",10943
"00000000-0002-0001-0000-000170716911","bürgerkrieg in syrien",29882
"00000000-0002-0001-0000-000170716911","erdbeben in haiti 2010",29882
"00000000-0002-0001-0000-000170716911","flüchtlinge",29882
"00000000-0002-0001-0000-000170716911","hiv / aids",29882
"00000000-0002-0001-0000-000170716911","leben",29882
"00000000-0002-0001-0000-000170716911","tuberkulose",29882
"00000000-0002-0001-0000-000170716911","wege aus der krise",29882
"00000000-0002-0001-0000-000170854054","",10813
"00000000-0002-0001-0000-000170854054","bryan adams",28805
"00000000-0002-0001-0000-000170854054","jonathan meese",28805
"00000000-0002-0001-0000-000170854054","leben",28805
"00000000-0002-0001-0000-000170854054","reinhold messner",28805
"00000000-0002-0001-0000-000170854054","s - das stilmagazin des spiegel",28805
"00000000-0002-0001-0000-000170874361","",12311
"00000000-0002-0001-0000-000170874361","literatur",27266
"00000000-0002-0001-0000-000170874361","seuchen",27266
"00000000-0002-0001-0000-000170928469","",37797
"00000000-0002-0001-0000-000170928469","krieg",72242
"00000000-0002-0001-0000-000170928469","mittelalter",72242
"00000000-0002-0001-0000-000170928473","",54198
"00000000-0002-0001-0000-000170928480","",160223
"00000000-0002-0001-0000-000170928480","leben",1
"00000000-0002-0001-0000-000170928480","menschenskinder - die elternkolumne",1
"00000000-0002-0001-0000-000170928482","",33329
"00000000-0002-0001-0000-000170928488","",54269
"00000000-0002-0001-0000-000170928488","seuchen",104473
"00000000-0002-0001-0000-000170928490","",37687
"00000000-0002-0001-0000-000170928495","",21037
"00000000-0002-0001-0000-000170928496","",12549
"00000000-0002-0001-0000-000170928496","mittelalter",26365
"00000000-0002-0001-0000-000170928497","",41431
"00000000-0002-0001-0000-000170928497","mittelalter",80060
"00000000-0002-0001-0000-000170928501","",6830
"00000000-0002-0001-0000-000170928501","mittelalter",15871
"00000000-0002-0001-0000-000171616947","",26013
"00000000-0002-0001-0000-000171616955","",6983
"00000000-0002-0001-0000-000171616955","berlin",20101
"00000000-0002-0001-0000-000171616955","netflix",20101
"00000000-0002-0001-0000-000171616955","netflix: serien und filme",20101
"00000000-0002-0001-0000-000171724285","",10692
"00000000-0002-0001-0000-000171724291","",36745
"00000000-0002-0001-0000-000171773570","",1674
"00000000-0002-0001-0000-000171773570","arbeitsplatz schule",6044
"00000000-0002-0001-0000-000171773570","coronavirus",6044
"00000000-0002-0001-0000-000171773570","coronavirus: arbeit und wirtschaft",6044
"00000000-0002-0001-0000-000171773570","coronavirus: kollateralfragen",6044
"00000000-0002-0001-0000-000171773570","coronavirus: medizin",6044
"00000000-0002-0001-0000-000171773570","schule",6044
"00000000-0002-0001-0000-000171773574","",7267
"00000000-0002-0001-0000-000171773574","""fridays for future""",18397
"00000000-0002-0001-0000-000171773574","erderwärmung",18397
"00000000-0002-0001-0000-000171773574","klimapolitik",18397
"00000000-0002-0001-0000-000171773574","klimawandel",18397
"00000000-0002-0001-0000-000171773585","",4853
"00000000-0002-0001-0000-000171773585","buchrezensionen",13186
"00000000-0002-0001-0000-000171773585","literatur",13186
"00000000-0002-0001-0000-000171773585","stuttgart",13186
"00000000-0002-0001-0000-000171875081","",5539
"00000000-0002-0001-0000-000171875081","bundeswehr",20535
"00000000-0002-0001-0000-000171875081","rechtsextremismus",20535
"00000000-0002-0001-0000-000171875083","",36624
"00000000-0002-0001-0000-000171875083","clemens tÃ¶nnies",2
"00000000-0002-0001-0000-000171875083","clemens tönnies",221534
"00000000-0002-0001-0000-000171875083","coronavirus",221536
"00000000-0002-0001-0000-000171875083","tÃ¶nnies holding",2
"00000000-0002-0001-0000-000171875083","tönnies holding",221534
"00000000-0002-0001-0000-000171875084","",1687
"00000000-0002-0001-0000-000171875084","annegret kramp-karrenbauer",3701
"00000000-0002-0001-0000-000171875084","attentat vom 20. juli 1944",3701
"00000000-0002-0001-0000-000171875084","bundeswehr",3701
"00000000-0002-0001-0000-000171875084","claus schenk von stauffenberg",3701
"00000000-0002-0001-0000-000171875085","",19845
"00000000-0002-0001-0000-000171875085","coronavirus: arbeit und wirtschaft",29371
"00000000-0002-0001-0000-000171875085","eltern",29371
"00000000-0002-0001-0000-000171875085","meinung",6939
"00000000-0002-0001-0000-000171875086","",23805
"00000000-0002-0001-0000-000171875086","aktenzeichen xy ... ungelöst",62374
"00000000-0002-0001-0000-000171875086","kriminalität",62374
"00000000-0002-0001-0000-000171875086","madeleine mccann",62374
"00000000-0002-0001-0000-000171875086","sexueller missbrauch von kindern",62374
"00000000-0002-0001-0000-000171875088","",28204
"00000000-0002-0001-0000-000171875088","alternative für deutschland (afd)",48872
"00000000-0002-0001-0000-000171875088","npd",48872
"00000000-0002-0001-0000-000171875088","rechtsextremismus",48872
"00000000-0002-0001-0000-000171875088","sachsen-anhalt",48872
"00000000-0002-0001-0000-000171875089","",83
"00000000-0002-0001-0000-000171875089","diesel",213
"00000000-0002-0001-0000-000171875089","diesel-fahrverbote",213
"00000000-0002-0001-0000-000171875089","fdp",213
"00000000-0002-0001-0000-000171875089","schleswig-holstein",213
"00000000-0002-0001-0000-000171875091","",35422
"00000000-0002-0001-0000-000171875091","drogen",48272
"00000000-0002-0001-0000-000171875091","kriminalität",48272
"00000000-0002-0001-0000-000171875091","rechtsextremismus",48272
"00000000-0002-0001-0000-000171875091","terrorismus",48272
"00000000-0002-0001-0000-000171875097","",30095
"00000000-0002-0001-0000-000171875097","bundesgesundheitsministerium",83712
"00000000-0002-0001-0000-000171875097","cdu",83712
"00000000-0002-0001-0000-000171875097","jens spahn",83712
"00000000-0002-0001-0000-000171875098","",30120
"00000000-0002-0001-0000-000171875098","armin laschet",99114
"00000000-0002-0001-0000-000171875098","cdu",99114
"00000000-0002-0001-0000-000171875098","clemens tönnies",99114
"00000000-0002-0001-0000-000171875098","tönnies holding",99114
"00000000-0002-0001-0000-000171875099","",45430
"00000000-0002-0001-0000-000171875099","norbert walter-borjans",118326
"00000000-0002-0001-0000-000171875099","saskia esken",118326
"00000000-0002-0001-0000-000171875099","spd",118326
"00000000-0002-0001-0000-000171875100","",35708
"00000000-0002-0001-0000-000171875100","coronavirus",108627
"00000000-0002-0001-0000-000171875100","coronavirus: reisen",108627
"00000000-0002-0001-0000-000171875100","türkei",108627
"00000000-0002-0001-0000-000171875101","",13638
"00000000-0002-0001-0000-000171875101","cdu",36016
"00000000-0002-0001-0000-000171875101","csu",36016
"00000000-0002-0001-0000-000171875101","oman",36016
"00000000-0002-0001-0000-000171875102","",53180
"00000000-0002-0001-0000-000171875102","alexander falk",117237
"00000000-0002-0001-0000-000171875102","strafvollzug",117237
"00000000-0002-0001-0000-000171875103","",2481
"00000000-0002-0001-0000-000171875103","gewalt gegen frauen",8371
"00000000-0002-0001-0000-000171875104","",19000
"00000000-0002-0001-0000-000171875105","",7219
"00000000-0002-0001-0000-000171875105","fremdenfeindlichkeit",15816
"00000000-0002-0001-0000-000171875105","polizei",15816
"00000000-0002-0001-0000-000171875105","rassismus",15816
"00000000-0002-0001-0000-000171875106","",17906
"00000000-0002-0001-0000-000171875106","depressionen",85486
"00000000-0002-0001-0000-000171875106","psychotherapie",85486
"00000000-0002-0001-0000-000171875107","",22958
"00000000-0002-0001-0000-000171875110","",3776
"00000000-0002-0001-0000-000171875111","",4394
"00000000-0002-0001-0000-000171875111","braunkohle",11086
"00000000-0002-0001-0000-000171875111","lausitz",11086
"00000000-0002-0001-0000-000171875112","",60355
"00000000-0002-0001-0000-000171875112","""nationalsozialistischer untergrund"" (nsu)",118438
"00000000-0002-0001-0000-000171875112","kriminalität",118438
"00000000-0002-0001-0000-000171875113","",35944
"00000000-0002-0001-0000-000171875113","banken",84671
"00000000-0002-0001-0000-000171875113","coronavirus: arbeit und wirtschaft",84671
"00000000-0002-0001-0000-000171875113","konjunktur",84671
"00000000-0002-0001-0000-000171875118","",20582
"00000000-0002-0001-0000-000171875118","coronavirus",59452
"00000000-0002-0001-0000-000171875118","mittelstand",59452
"00000000-0002-0001-0000-000171875118","wirtschaftspolitik",59452
"00000000-0002-0001-0000-000171875119","",54846
"00000000-0002-0001-0000-000171875119","finanzen",156395
"00000000-0002-0001-0000-000171875119","wirecard",156395
"00000000-0002-0001-0000-000171875120","",4864
"00000000-0002-0001-0000-000171875120","glücksspiel",14374
"00000000-0002-0001-0000-000171875123","",7690
"00000000-0002-0001-0000-000171875123","coronavirus: arbeit und wirtschaft",16217
"00000000-0002-0001-0000-000171875123","gesundheitssystem der usa",16217
"00000000-0002-0001-0000-000171875123","usa",16217
"00000000-0002-0001-0000-000171875123","wirtschaft in den usa",16217
"00000000-0002-0001-0000-000171875126","",2236
"00000000-0002-0001-0000-000171875126","hongkong",7189
"00000000-0002-0001-0000-000171875126","proteste in hongkong",7189
"00000000-0002-0001-0000-000171875126","volksrepublik china",7189
"00000000-0002-0001-0000-000171875128","",18540
"00000000-0002-0001-0000-000171875128","coronavirus",50647
"00000000-0002-0001-0000-000171875128","coronavirus: reisen",50647
"00000000-0002-0001-0000-000171875128","mallorca",50647
"00000000-0002-0001-0000-000171875128","tourismusbranche",50647
"00000000-0002-0001-0000-000171875129","",12052
"00000000-0002-0001-0000-000171875129","coronavirus: reisen",29477
"00000000-0002-0001-0000-000171875129","mallorca",29477
"00000000-0002-0001-0000-000171875130","",31619
"00000000-0002-0001-0000-000171875130","coronavirus",75099
"00000000-0002-0001-0000-000171875130","mallorca",75099
"00000000-0002-0001-0000-000171875130","meinung",74808
"00000000-0002-0001-0000-000171875130","reise",75099
"00000000-0002-0001-0000-000171875130","tourismusbranche",74727
"00000000-0002-0001-0000-000171875131","",84655
"00000000-0002-0001-0000-000171875131","donald trump",195272
"00000000-0002-0001-0000-000171875131","republikaner (usa)",195272
"00000000-0002-0001-0000-000171875131","us-präsidentschaftswahl 2020",195272
"00000000-0002-0001-0000-000171875131","usa",195272
"00000000-0002-0001-0000-000171875132","",16006
"00000000-0002-0001-0000-000171875132","opposition in russland",57855
"00000000-0002-0001-0000-000171875132","russland",57855
"00000000-0002-0001-0000-000171875132","wladimir putin",57855
"00000000-0002-0001-0000-000171875133","",4506
"00000000-0002-0001-0000-000171875133","coronavirus",14732
"00000000-0002-0001-0000-000171875133","eu-kommission",14732
"00000000-0002-0001-0000-000171875133","europäische union",14732
"00000000-0002-0001-0000-000171875133","jean-claude juncker",14732
"00000000-0002-0001-0000-000171875134","",13898
"00000000-0002-0001-0000-000171875134","architektur",33266
"00000000-0002-0001-0000-000171875134","frankreich",33266
"00000000-0002-0001-0000-000171875134","paris",33266
"00000000-0002-0001-0000-000171875137","",6478
"00000000-0002-0001-0000-000171875137","doping",28743
"00000000-0002-0001-0000-000171875137","olympia",28743
"00000000-0002-0001-0000-000171875137","olympia: winterspiele in sotschi 2014",28743
"00000000-0002-0001-0000-000171875137","sport",28743
"00000000-0002-0001-0000-000171875138","",34882
"00000000-0002-0001-0000-000171875138","fußball-bundesliga",74489
"00000000-0002-0001-0000-000171875138","schalke 04",74489
"00000000-0002-0001-0000-000171875144","",72129
"00000000-0002-0001-0000-000171875144","coronavirus",305053
"00000000-0002-0001-0000-000171875145","",72923
"00000000-0002-0001-0000-000171875145","brasilien",177659
"00000000-0002-0001-0000-000171875145","coronavirus",177659
"00000000-0002-0001-0000-000171875145","europa",177659
"00000000-0002-0001-0000-000171875145","influenza",177659
"00000000-0002-0001-0000-000171875145","usa",177659
"00000000-0002-0001-0000-000171875145","weltgesundheitsorganisation who",177659
"00000000-0002-0001-0000-000171875146","",52040
"00000000-0002-0001-0000-000171875146","gefährliches spielzeug",109090
"00000000-0002-0001-0000-000171875146","spielzeug",109090
"00000000-0002-0001-0000-000171875147","",16847
"00000000-0002-0001-0000-000171875147","afrika",45651
"00000000-0002-0001-0000-000171875147","tansania",45651
"00000000-0002-0001-0000-000171875154","",5803
"00000000-0002-0001-0000-000171875155","",4354
"00000000-0002-0001-0000-000171875155","fotografie",12178
"00000000-0002-0001-0000-000171875158","",8737
"00000000-0002-0001-0000-000171875158","film",20415
"00000000-0002-0001-0000-000171875158","hollywood",20415
"00000000-0002-0001-0000-000171875158","kino",20415
"00000000-0002-0001-0000-000171973694","",2945
"00000000-0002-0001-0000-000171973694","angela merkel",7410
"00000000-0002-0001-0000-000171973694","annegret kramp-karrenbauer",7410
"00000000-0002-0001-0000-000171973694","cdu",7410
"00000000-0002-0001-0000-000171973694","frauen in der politik",7410
"00000000-0002-0001-0000-000171973694","frauen und karriere",7410
"00000000-0002-0001-0000-000171973694","gleichstellung von frauen",7410
"00000000-0002-0001-0000-000171973694","meinung",3804
"00000000-0002-0001-0000-000171973694","ursula von der leyen",7410
"00000000-0002-0001-0000-000171973695","",51749
"00000000-0002-0001-0000-000171973695","angela merkel",181696
