"ArticleUrl";"Type";"Title";"Intro";"Heading";"PublishDate";"Style";"IsPlus";"filename"
"https://www.spiegel.de/politik/ausland/syrien-russischer-vorschlag-fuer-humanitaere-hilfe-scheitert-im-uno-sicherheitsrat-a-56794f8e-79f3-4ff7-8c20-45b0167f5a7d";"news";"Auch russischer Vorschlag scheitert im Uno-Sicherheitsrat";"Erst legte Russland ein Veto gegen die Verlängerung der Hilfen für Syrien ein. Dann lehnte eine große Mehrheit im Uno-Sicherheitsrat Moskaus Gegenvorschlag ab. Kann eine deutsch-belgische Initiative das Programm retten?";"Humanitäre Hilfe für Syrien";2020-07-11 06:59:00;"default";FALSE;"no1_news_free_2020-07-11H06-59-00.png"
"https://www.spiegel.de/gesundheit/zecken-in-deutschland-drk-warnt-nach-mildem-winter-a-e0c6379a-ca79-4865-a17a-c1c84a96db89";"highlight";"Die Zecken sind zurück";"Es ist wieder Zeckensaison. Nach dem milden Winter warnt das Deutsche Rote Kreuz, dass diesen Sommer mit besonders vielen Blutsaugern zu rechnen ist.";"Risiko beim Spaziergang";2020-05-21 12:34:23;"default";FALSE;"no2_highlight_free_2020-05-21H12-34-23.png"
"https://www.manager-magazin.de/ueber-uns/boeing-daimler-martin-zielke-das-war-freitag-3-7-2020-a-f2dfec25-aa09-4a26-8a11-e4eecd9fe989";"opinion";"Der Tag mit dem Abgang des Commerzbank-Chefs";"Jeden Abend fassen wir die wichtigsten Wirtschaftsnews des Tages zusammen. Heute mit dem lauten Abgang von Martin Zielke und dem leisen Ende der Boeing 747.";"Newsletter \"\"Der Tag\"\"";2020-07-03 16:33:00;"default";FALSE;"no3_opinion_free_2020-07-03H16-33-00.png"
"https://www.spiegel.de/wirtschaft/soziales/corona-rezession-truegerische-boomsignale-kolumne-a-ae2456b4-bc6b-4666-8ebf-49927a0a94cb";"opinion";"Trügerische Boomsignale";"Erst gab es für Deutschlands Wirtschaft in der Coronakrise immer neue historische Absturzrekorde. Jetzt vermelden Auguren plötzlich Rekordanstiege. Wird alles gut? Vorsicht, Täuschung.";"Corona-Rezession";2020-06-26 13:00:39;"default";FALSE;"no4_opinion_free_2020-06-26H13-00-39.png"
"https://www.spiegel.de/reise/reise-podcasts-urlaub-fuer-die-ohren-a-072f6bad-8264-4ff9-8a8c-39a7861cea09";"highlight";"Dem Rauschen lauschen";"Wenn die Welt auf Wohnzimmergröße schrumpft, lenken Podcasts wunderbar ab: Man kann Aussteigern zuhören, bekommt Tipps für den 30-Tage-Urlaub - und für Ziele nach der Krise. Zehn ausgewählte Podcasts im Überblick.";"Reise-Podcasts";2020-04-10 18:28:17;"default";FALSE;"no5_highlight_free_2020-04-10H18-28-17.png"
"https://www.spiegel.de/reise/deutschland/deutschland-acht-tipps-fuer-versteckte-wanderungen-a-6f6a4bf1-ac57-49fb-b6ad-af1ac9cd7475";"highlight";"Abseits der Pfade";"Sie sehnen sich nach ganz viel Natur - an Orten, die nicht hoffnungslos überlaufen sind? Acht Wanderrouten von Berlin bis ins Allgäu.";"Acht versteckte Wanderungen in Deutschland";2020-05-08 08:22:00;"default";FALSE;"no6_highlight_free_2020-05-08H08-22-00.png"
"https://www.spiegel.de/kultur/corona-gesunder-egoismus-bedeutet-an-andere-zu-denken-kolumne-a-4cf1953b-344f-4702-babc-0511c88ef2e4";"opinion";"Eine Welt ohne Masken";"Die Pandemie gibt uns die Chance, endlich zu erkennen, was wahren Erfolg ausmacht: Glücklich ist nicht, wer materielle Güter anhäuft, sondern wer gute menschliche Beziehungen hat. Gesunder Egoismus bedeutet, an andere zu denken.";"Gesunder Egoismus";2020-07-12 15:41:34;"default";FALSE;"no7_opinion_free_2020-07-12H15-41-34.png"
"https://www.spiegel.de/psychologie/baby-boomer-wird-man-im-alter-automatisch-konservativ-die-midlife-kolumne-a-813a0eff-bc58-48c4-959c-fbcd4eac569c";"opinion";"Werden wir altersbedingt Rechtsabbieger?";"Jugend ist progressiv, Alter konservativ, sagt man. Muss das so sein? Soziologen haben eine Erklärung, warum so viele Babyboomer plötzlich den inneren Rechtsruck vollziehen.";"Alter! - Die Midlife-Kolumne";2020-06-09 15:00:08;"default";FALSE;"no8_opinion_free_2020-06-09H15-00-08.png"
"https://www.spiegel.de/stil/maison-lesage-sie-machen-den-stich-a-c4fa1827-3042-4b75-940f-df6ffbd95ba1";"highlight";"Sie machen den Stich";"Mit seinen Stickereien lieferte das Maison Lesage das Feuerwerk für die Haute Couture. In rund hundert Jahren Firmengeschichte wurde der Familienbetrieb zum wichtigen Partner vieler Pariser Modehäuser.";"Modekunst aus Frankreich";2020-05-17 07:48:29;"default";FALSE;"no9_highlight_free_2020-05-17H07-48-29.png"
"https://www.spiegel.de/stil/ideen-fuer-den-balkon-so-holen-sie-das-beste-aus-ihrem-balkon-a-76dcd11f-8315-4c02-baa9-bf8ee007a00a";"highlight";"Auf den Balkon gekommen";"Jedes Jahr Geranien pflanzen? Balkone können so viel individueller sein: Sechs Tipps und Projekte für Einsteiger und Fortgeschrittene. Vom Familienmenschen bis zum Pilzliebhaber.";"Experten geben Tipps";2020-05-31 10:44:15;"default";FALSE;"no10_highlight_free_2020-05-31H10-44-15.png"
"https://www.spiegel.de/netzwelt/netzpolitik/horst-seehofers-misslungener-pr-stunt-a-f21b4fc0-1fd3-4ecb-84ef-d0420a2fa4d7";"opinion";"Horst Seehofers misslungener PR-Stunt";"Die Drohung des Innenministers, eine Journalistin anzuzeigen, könnte ein politischer Kommunikationstrick sein. Doch er funktioniert diesmal nicht - und wird nun für Seehofer zur selbst gestellten Falle.";"Agenda Cutting";2020-06-24 13:13:00;"default";FALSE;"no11_opinion_free_2020-06-24H13-13-00.png"
